indice
,region,provincia,grupo_edad,total_personas,unidas_hombres,unidas_mujeres,unidas_total,separadas_hombres,separadas_mujeres,separadas_total,divorciadas_hombres,divorciadas_mujeres,divorciadas_total,viudas_hombres,viudas_mujeres,viudas_total,casadas_hombres,casadas_mujeres,casadas_total,solteras_hombres,solteras_mujeres,solteras_total
,El Oro,Portovelo,85 o m�s,184,1,,1,,2,2,2,,2,36,77,113,33,10,43,11,12,23
,El Oro,Santa Rosa,Total Santa Rosa,"63,874","7,042","7,055","14,097",979,"1,667","2,646",876,"1,331","2,207",675,"1,915","2,590","6,877","6,841","13,718","14,731","13,885","28,616"
,El Oro,Santa Rosa,De 12-14,"4,381",9,15,24,4,1,5,,,0,,,0,,,0,"2,216","2,136","4,352"
,El Oro,Santa Rosa,De 15-19,"6,993",121,354,475,5,38,43,,,0,,,0,1,16,17,"3,409","3,049","6,458"
,El Oro,Santa Rosa,De 20-24,"7,039",689,919,"1,608",30,122,152,3,11,14,1,8,9,64,161,225,"2,692","2,339","5,031"
,El Oro,Santa Rosa,De 25-29,"6,338",957,"1,097","2,054",62,166,228,12,32,44,3,10,13,294,477,771,"1,616","1,612","3,228"
,El Oro,Santa Rosa,De 30-34,"5,663",953,"1,039","1,992",98,206,304,50,79,129,2,15,17,570,699,"1,269","1,043",909,"1,952"
,El Oro,Santa Rosa,De 35-39,"5,515",948,984,"1,932",95,201,296,48,136,184,8,24,32,734,751,"1,485",769,817,"1,586"
,El Oro,Santa Rosa,De 40-44,"5,073",925,765,"1,690",123,193,316,91,143,234,7,56,63,722,816,"1,538",607,625,"1,232"
,El Oro,Santa Rosa,De 45-49,"4,377",615,585,"1,200",118,170,288,93,188,281,18,65,83,728,767,"1,495",528,502,"1,030"
,El Oro,Santa Rosa,De 50-54,"4,250",580,439,"1,019",116,163,279,119,207,326,24,109,133,725,817,"1,542",502,449,951
,El Oro,Santa Rosa,De 55-59,"3,558",376,314,690,90,119,209,135,161,296,41,129,170,711,693,"1,404",377,412,789
,El Oro,Santa Rosa,De 60-64,"3,207",365,260,625,71,104,175,124,127,251,59,207,266,708,562,"1,270",326,294,620
,El Oro,Santa Rosa,De 65-69,"2,610",236,140,376,51,99,150,86,100,186,85,236,321,586,484,"1,070",235,272,507
,El Oro,Santa Rosa,De 70-74,"1,872",127,77,204,48,38,86,61,71,132,103,288,391,412,290,702,172,185,357
,El Oro,Santa Rosa,De 75-79,"1,378",87,36,123,42,24,66,27,47,74,83,253,336,323,188,511,122,146,268
,El Oro,Santa Rosa,De 80-84,773,34,11,45,16,13,29,22,15,37,89,215,304,155,71,226,65,67,132
,El Oro,Santa Rosa,85 o m�s,847,20,20,40,10,10,20,5,14,19,152,300,452,144,49,193,52,71,123
,El Oro,Zaruma,Total Zaruma,"20,180","1,739","1,750","3,489",149,303,452,207,297,504,247,815,"1,062","3,463","3,471","6,934","4,122","3,617","7,739"
,El Oro,Zaruma,De 12-14,"1,259",3,,3,1,,1,,,0,,,0,,,0,626,629,"1,255"
,El Oro,Zaruma,De 15-19,"2,048",19,102,121,2,3,5,,,0,,1,1,,5,5,"1,050",866,"1,916"
,El Oro,Zaruma,De 20-24,"1,835",196,302,498,6,26,32,,2,2,,,0,19,57,76,692,535,"1,227"
,El Oro,Zaruma,De 25-29,"1,720",296,343,639,5,30,35,2,3,5,,2,2,81,138,219,465,355,820
,El Oro,Zaruma,De 30-34,"1,600",331,278,609,7,39,46,9,28,37,1,7,8,162,265,427,254,219,473
,El Oro,Zaruma,De 35-39,"1,501",225,208,433,8,35,43,25,28,53,2,11,13,273,316,589,202,168,370
,El Oro,Zaruma,De 40-44,"1,552",197,177,374,20,26,46,14,43,57,,15,15,337,412,749,160,151,311
,El Oro,Zaruma,De 45-49,"1,430",144,123,267,14,33,47,24,46,70,1,25,26,347,421,768,151,101,252
,El Oro,Zaruma,De 50-54,"1,541",115,101,216,25,29,54,28,46,74,10,42,52,456,428,884,147,114,261
,El Oro,Zaruma,De 55-59,"1,366",103,58,161,18,25,43,37,30,67,13,50,63,434,377,811,113,108,221
,El Oro,Zaruma,De 60-64,"1,145",55,23,78,14,21,35,27,32,59,8,78,86,378,325,703,83,101,184
,El Oro,Zaruma,De 65-69,886,21,17,38,10,14,24,16,16,32,19,93,112,300,243,543,58,79,137
,El Oro,Zaruma,De 70-74,751,19,7,26,8,6,14,11,9,20,31,97,128,247,214,461,38,64,102
,El Oro,Zaruma,De 75-79,590,9,2,11,3,6,9,4,8,12,45,115,160,174,144,318,33,47,80
,El Oro,Zaruma,De 80-84,464,4,5,9,5,2,7,3,4,7,43,118,161,134,85,219,28,33,61
,El Oro,Zaruma,85 o m�s,492,2,4,6,3,8,11,7,2,9,74,161,235,121,41,162,22,47,69
,El Oro,Las Lajas,Total Las Lajas,"4,708",376,366,742,42,58,100,50,65,115,66,185,251,784,760,"1,544","1,056",900,"1,956"
,El Oro,Las Lajas,De 12-14,241,,,0,,,0,,,0,,,0,,,0,138,103,241
,El Oro,Las Lajas,De 15-19,432,2,10,12,,,0,,,0,,,0,1,2,3,208,209,417
,El Oro,Las Lajas,De 20-24,474,32,55,87,2,3,5,,,0,,,0,4,9,13,199,170,369
,El Oro,Las Lajas,De 25-29,398,48,64,112,3,3,6,1,5,6,,,0,18,33,51,114,109,223
,El Oro,Las Lajas,De 30-34,337,60,42,102,2,6,8,2,,2,,1,1,42,52,94,65,65,130
,El Oro,Las Lajas,De 35-39,345,47,49,96,5,8,13,,9,9,1,1,2,49,60,109,65,51,116
,El Oro,Las Lajas,De 40-44,379,39,51,90,5,2,7,7,12,19,,1,1,73,85,158,63,41,104
,El Oro,Las Lajas,De 45-49,373,47,41,88,3,7,10,3,8,11,2,2,4,78,81,159,58,43,101
,El Oro,Las Lajas,De 50-54,373,35,23,58,5,8,13,6,6,12,3,8,11,94,117,211,39,29,68
,El Oro,Las Lajas,De 55-59,296,23,9,32,4,7,11,7,8,15,3,17,20,81,80,161,37,20,57
,El Oro,Las Lajas,De 60-64,261,15,8,23,4,6,10,7,10,17,1,19,20,79,66,145,20,26,46
,El Oro,Las Lajas,De 65-69,209,15,6,21,2,1,3,5,4,9,5,15,20,66,54,120,22,14,36
,El Oro,Las Lajas,De 70-74,169,6,4,10,,2,2,6,,6,9,28,37,59,35,94,15,5,20
,El Oro,Las Lajas,De 75-79,201,4,2,6,6,5,11,4,2,6,11,35,46,62,57,119,7,6,13
,El Oro,Las Lajas,De 80-84,102,2,,2,1,,1,,1,1,13,24,37,37,19,56,3,2,5
,El Oro,Las Lajas,85 o m�s,118,1,2,3,,,0,2,,2,18,34,52,41,10,51,3,7,10
,Esmeraldas,Total Esmeraldas,Total Esmeraldas,"416,523","59,159","58,797","117,956","5,615","10,868","16,483","2,521","4,189","6,710","2,859","8,677","11,536","25,219","25,245","50,464","103,262","110,112","213,374"
,Esmeraldas,Total Esmeraldas,De 12-14,"38,699",74,237,311,18,21,39,,,0,2,2,4,,,0,"19,797","18,548","38,345"
,Esmeraldas,Total Esmeraldas,De 15-19,"57,761","1,161","3,861","5,022",33,314,347,,5,5,3,14,17,32,82,114,"27,931","24,325","52,256"
,Esmeraldas,Total Esmeraldas,De 20-24,"48,606","5,684","8,039","13,723",218,913,"1,131",6,31,37,8,52,60,309,742,"1,051","16,488","16,116","32,604"
,Esmeraldas,Total Esmeraldas,De 25-29,"41,113","7,680","8,383","16,063",360,"1,319","1,679",24,87,111,13,90,103,"1,007","1,732","2,739","9,103","11,315","20,418"
,Esmeraldas,Total Esmeraldas,De 30-34,"37,800","7,924","8,137","16,061",479,"1,443","1,922",95,255,350,24,157,181,"1,993","2,600","4,593","6,263","8,430","14,693"
,Esmeraldas,Total Esmeraldas,De 35-39,"34,608","7,497","7,095","14,592",605,"1,454","2,059",201,384,585,38,193,231,"2,637","3,082","5,719","4,528","6,894","11,422"
,Esmeraldas,Total Esmeraldas,De 40-44,"31,711","6,844","6,244","13,088",663,"1,281","1,944",275,489,764,71,291,362,"2,923","3,207","6,130","3,878","5,545","9,423"
,Esmeraldas,Total Esmeraldas,De 45-49,"26,293","5,575","4,799","10,374",594,945,"1,539",284,476,760,71,357,428,"2,905","2,924","5,829","3,105","4,258","7,363"
,Esmeraldas,Total Esmeraldas,De 50-54,"23,057","4,639","3,794","8,433",647,848,"1,495",304,545,849,141,484,625,"2,750","2,770","5,520","2,777","3,358","6,135"
,Esmeraldas,Total Esmeraldas,De 55-59,"20,544","3,862","2,913","6,775",567,743,"1,310",369,596,965,217,731,948,"2,614","2,392","5,006","2,503","3,037","5,540"
,Esmeraldas,Total Esmeraldas,De 60-64,"17,553","3,146","2,197","5,343",462,579,"1,041",340,419,759,324,948,"1,272","2,368","2,077","4,445","2,093","2,600","4,693"
,Esmeraldas,Total Esmeraldas,De 65-69,"14,424","2,260","1,530","3,790",403,451,854,249,403,652,406,"1,202","1,608","2,167","1,615","3,782","1,730","2,008","3,738"
,Esmeraldas,Total Esmeraldas,De 70-74,"9,811","1,352",820,"2,172",264,251,515,186,237,423,398,"1,137","1,535","1,534","1,073","2,607","1,198","1,361","2,559"
,Esmeraldas,Total Esmeraldas,De 75-79,"6,476",744,424,"1,168",144,165,309,104,140,244,386,"1,029","1,415","1,034",546,"1,580",841,919,"1,760"
,Esmeraldas,Total Esmeraldas,De 80-84,"4,100",424,195,619,88,83,171,49,67,116,312,884,"1,196",567,247,814,533,651,"1,184"
,Esmeraldas,Total Esmeraldas,85 o m�s,"3,967",293,129,422,70,58,128,35,55,90,445,"1,106","1,551",379,156,535,494,747,"1,241"
,Esmeraldas,Esmeraldas,Total Esmeraldas,"163,073","18,795","18,395","37,190","1,921","3,585","5,506","1,392","2,621","4,013","1,111","3,958","5,069","11,984","12,065","24,049","39,986","47,260","87,246"
,Esmeraldas,Esmeraldas,De 12-14,"14,183",32,30,62,7,5,12,,,0,1,1,2,,,0,"7,262","6,845","14,107"
,Esmeraldas,Esmeraldas,De 15-19,"20,733",246,766,"1,012",12,67,79,,2,2,1,4,5,9,30,39,"10,103","9,493","19,596"
,Esmeraldas,Esmeraldas,De 20-24,"18,048","1,410","2,000","3,410",78,212,290,4,9,13,5,20,25,130,260,390,"6,733","7,187","13,920"
,Esmeraldas,Esmeraldas,De 25-29,"15,697","2,201","2,567","4,768",133,347,480,10,42,52,5,40,45,429,771,"1,200","3,956","5,196","9,152"
,Esmeraldas,Esmeraldas,De 30-34,"14,812","2,572","2,688","5,260",192,434,626,62,142,204,12,62,74,975,"1,261","2,236","2,639","3,773","6,412"
,Esmeraldas,Esmeraldas,De 35-39,"13,969","2,564","2,481","5,045",213,475,688,114,221,335,12,75,87,"1,308","1,508","2,816","1,885","3,113","4,998"
,Esmeraldas,Esmeraldas,De 40-44,"13,105","2,349","2,213","4,562",235,473,708,159,314,473,34,134,168,"1,431","1,562","2,993","1,662","2,539","4,201"
,Esmeraldas,Esmeraldas,De 45-49,"10,714","1,894","1,667","3,561",190,354,544,181,300,481,29,151,180,"1,402","1,395","2,797","1,221","1,930","3,151"
,Esmeraldas,Esmeraldas,De 50-54,"9,363","1,564","1,287","2,851",251,316,567,171,321,492,57,214,271,"1,271","1,315","2,586","1,022","1,574","2,596"
,Esmeraldas,Esmeraldas,De 55-59,"8,526","1,286","1,027","2,313",193,287,480,198,402,600,76,318,394,"1,197","1,168","2,365",936,"1,438","2,374"
,Esmeraldas,Esmeraldas,De 60-64,"7,466","1,041",725,"1,766",145,216,361,171,256,427,139,458,597,"1,164","1,030","2,194",812,"1,309","2,121"
,Esmeraldas,Esmeraldas,De 65-69,"6,226",767,483,"1,250",95,184,279,127,272,399,157,564,721,"1,064",811,"1,875",661,"1,041","1,702"
,Esmeraldas,Esmeraldas,De 70-74,"4,090",413,249,662,91,90,181,108,161,269,138,500,638,714,508,"1,222",430,688,"1,118"
,Esmeraldas,Esmeraldas,De 75-79,"2,700",242,119,361,49,63,112,50,90,140,143,464,607,458,256,714,287,479,766
,Esmeraldas,Esmeraldas,De 80-84,"1,689",135,47,182,18,33,51,23,45,68,121,414,535,245,113,358,181,314,495
,Esmeraldas,Esmeraldas,85 o m�s,"1,752",79,46,125,19,29,48,14,44,58,181,539,720,187,77,264,196,341,537
,Esmeraldas,Eloy Alfaro,Total Eloy Alfaro,"33,748","5,787","5,799","11,586",344,768,"1,112",60,90,150,206,538,744,"1,359","1,344","2,703","8,604","8,849","17,453"
,Esmeraldas,Eloy Alfaro,De 12-14,"3,510",6,27,33,2,,2,,,0,,,0,,,0,"1,740","1,735","3,475"
,Esmeraldas,Eloy Alfaro,De 15-19,"5,280",145,410,555,8,26,34,,,0,,3,3,3,5,8,"2,460","2,220","4,680"
,Esmeraldas,Eloy Alfaro,De 20-24,"4,206",624,867,"1,491",18,71,89,,2,2,,7,7,18,47,65,"1,354","1,198","2,552"
,Esmeraldas,Eloy Alfaro,De 25-29,"3,513",798,889,"1,687",19,102,121,2,2,4,4,9,13,52,98,150,677,861,"1,538"
,Esmeraldas,Eloy Alfaro,De 30-34,"2,960",719,759,"1,478",19,109,128,1,9,10,2,10,12,112,137,249,462,621,"1,083"
,Esmeraldas,Eloy Alfaro,De 35-39,"2,429",638,603,"1,241",32,92,124,5,9,14,7,12,19,143,162,305,313,413,726
,Esmeraldas,Eloy Alfaro,De 40-44,"2,390",649,566,"1,215",30,84,114,10,15,25,7,20,27,152,184,336,285,388,673
,Esmeraldas,Eloy Alfaro,De 45-49,"1,921",500,418,918,42,64,106,4,8,12,4,26,30,168,172,340,218,297,515
,Esmeraldas,Eloy Alfaro,De 50-54,"1,754",416,359,775,41,61,102,8,9,17,7,41,48,197,179,376,202,234,436
,Esmeraldas,Eloy Alfaro,De 55-59,"1,575",406,275,681,42,56,98,8,6,14,22,44,66,159,100,259,237,220,457
,Esmeraldas,Eloy Alfaro,De 60-64,"1,367",337,274,611,25,35,60,8,8,16,25,63,88,116,94,210,199,183,382
,Esmeraldas,Eloy Alfaro,De 65-69,"1,076",241,191,432,28,31,59,4,9,13,25,63,88,94,80,174,137,173,310
,Esmeraldas,Eloy Alfaro,De 70-74,702,132,85,217,19,14,33,2,6,8,32,66,98,60,42,102,138,106,244
,Esmeraldas,Eloy Alfaro,De 75-79,471,98,40,138,9,11,20,4,3,7,28,58,86,37,24,61,91,68,159
,Esmeraldas,Eloy Alfaro,De 80-84,306,46,24,70,5,6,11,3,1,4,16,55,71,31,10,41,50,59,109
,Esmeraldas,Eloy Alfaro,85 o m�s,288,32,12,44,5,6,11,1,3,4,27,61,88,17,10,27,41,73,114
,Esmeraldas,Muisne,Total Muisne,"26,506","4,766","4,741","9,507",595,"1,034","1,629",113,125,238,196,482,678,"1,166","1,147","2,313","6,536","5,605","12,141"
,Esmeraldas,Muisne,De 12-14,"2,628",5,25,30,1,3,4,,,0,,1,1,,,0,"1,356","1,237","2,593"
,Esmeraldas,Muisne,De 15-19,"3,846",118,406,524,2,48,50,,,0,,,0,1,3,4,"1,862","1,406","3,268"
,Esmeraldas,Muisne,De 20-24,"3,169",512,751,"1,263",17,118,135,,5,5,,2,2,22,53,75,967,722,"1,689"
,Esmeraldas,Muisne,De 25-29,"2,574",637,669,"1,306",35,148,183,2,5,7,1,2,3,50,85,135,427,513,940
,Esmeraldas,Muisne,De 30-34,"2,438",663,615,"1,278",46,155,201,2,10,12,2,12,14,90,108,198,330,405,735
,Esmeraldas,Muisne,De 35-39,"2,126",561,529,"1,090",59,127,186,7,8,15,2,11,13,84,117,201,307,314,621
,Esmeraldas,Muisne,De 40-44,"1,862",523,450,973,68,99,167,11,13,24,,9,9,131,128,259,216,214,430
,Esmeraldas,Muisne,De 45-49,"1,540",419,337,756,68,73,141,6,16,22,3,16,19,123,123,246,198,158,356
,Esmeraldas,Muisne,De 50-54,"1,424",379,272,651,59,74,133,12,14,26,22,15,37,104,124,228,207,142,349
,Esmeraldas,Muisne,De 55-59,"1,338",291,240,531,61,57,118,26,19,45,12,41,53,144,116,260,178,153,331
,Esmeraldas,Muisne,De 60-64,"1,090",252,174,426,58,48,106,16,10,26,24,45,69,136,99,235,129,99,228
,Esmeraldas,Muisne,De 65-69,865,170,131,301,56,27,83,13,9,22,25,68,93,90,75,165,121,80,201
,Esmeraldas,Muisne,De 70-74,602,108,57,165,31,26,57,7,6,13,25,60,85,79,58,137,93,52,145
,Esmeraldas,Muisne,De 75-79,431,59,45,104,15,15,30,6,6,12,33,61,94,51,35,86,61,44,105
,Esmeraldas,Muisne,De 80-84,298,37,27,64,11,12,23,3,3,6,22,59,81,39,14,53,43,28,71
,Esmeraldas,Muisne,85 o m�s,275,32,13,45,8,4,12,2,1,3,25,80,105,22,9,31,41,38,79
,Esmeraldas,Quinind�,Total Quinind�,"96,444","14,741","14,736","29,477","1,603","3,236","4,839",552,795,"1,347",816,"2,137","2,953","6,540","6,528","13,068","23,559","21,201","44,760"
,Esmeraldas,Quinind�,De 12-14,"8,477",14,90,104,3,5,8,,,0,1,,1,,,0,"4,409","3,955","8,364"
,Esmeraldas,Quinind�,De 15-19,"13,259",318,"1,125","1,443",4,92,96,,1,1,2,2,4,13,30,43,"6,474","5,198","11,672"
,Esmeraldas,Quinind�,De 20-24,"11,417","1,500","2,207","3,707",55,298,353,2,7,9,3,10,13,86,226,312,"3,809","3,214","7,023"
,Esmeraldas,Quinind�,De 25-29,"9,564","2,004","2,139","4,143",98,433,531,7,22,29,2,17,19,248,454,702,"2,118","2,022","4,140"
,Esmeraldas,Quinind�,De 30-34,"8,758","1,972","1,956","3,928",132,435,567,20,53,73,3,43,46,482,649,"1,131","1,516","1,497","3,013"
,Esmeraldas,Quinind�,De 35-39,"8,029","1,825","1,673","3,498",179,462,641,43,84,127,10,39,49,687,769,"1,456","1,042","1,216","2,258"
,Esmeraldas,Quinind�,De 40-44,"7,257","1,641","1,470","3,111",208,355,563,61,83,144,19,68,87,730,805,"1,535",850,967,"1,817"
,Esmeraldas,Quinind�,De 45-49,"6,391","1,401","1,199","2,600",176,285,461,56,88,144,21,104,125,770,779,"1,549",724,788,"1,512"
,Esmeraldas,Quinind�,De 50-54,"5,449","1,118",966,"2,084",178,231,409,64,120,184,32,115,147,698,683,"1,381",662,582,"1,244"
,Esmeraldas,Quinind�,De 55-59,"4,702",930,657,"1,587",152,192,344,70,99,169,60,196,256,670,666,"1,336",520,490,"1,010"
,Esmeraldas,Quinind�,De 60-64,"4,046",761,521,"1,282",129,162,291,78,99,177,77,240,317,585,533,"1,118",437,424,861
,Esmeraldas,Quinind�,De 65-69,"3,340",567,350,917,123,124,247,61,64,125,125,284,409,573,400,973,372,297,669
,Esmeraldas,Quinind�,De 70-74,"2,360",359,203,562,66,74,140,37,36,73,118,283,401,447,293,740,242,202,444
,Esmeraldas,Quinind�,De 75-79,"1,579",171,119,290,39,57,96,24,22,46,118,271,389,310,148,458,177,123,300
,Esmeraldas,Quinind�,De 80-84,970,105,38,143,36,18,54,14,15,29,95,219,314,159,55,214,113,103,216
,Esmeraldas,Quinind�,85 o m�s,846,55,23,78,25,13,38,15,2,17,130,246,376,82,38,120,94,123,217
,Esmeraldas,San Lorenzo,Total San Lorenzo,"34,906","5,565","5,647","11,212",233,509,742,96,126,222,141,505,646,"1,161","1,136","2,297","9,017","10,770","19,787"
,Esmeraldas,San Lorenzo,De 12-14,"3,750",9,24,33,1,5,6,,,0,,,0,,,0,"1,954","1,757","3,711"
,Esmeraldas,San Lorenzo,De 15-19,"5,552",118,416,534,1,24,25,,2,2,,1,1,2,4,6,"2,621","2,363","4,984"
,Esmeraldas,San Lorenzo,De 20-24,"4,446",629,838,"1,467",15,45,60,,1,1,,7,7,13,34,47,"1,345","1,519","2,864"
,Esmeraldas,San Lorenzo,De 25-29,"3,623",802,819,"1,621",14,52,66,1,2,3,1,8,9,53,83,136,686,"1,102","1,788"
,Esmeraldas,San Lorenzo,De 30-34,"3,141",742,804,"1,546",13,63,76,,6,6,,11,11,98,112,210,448,844,"1,292"
,Esmeraldas,San Lorenzo,De 35-39,"3,027",759,734,"1,493",25,72,97,8,18,26,3,18,21,121,155,276,375,739,"1,114"
,Esmeraldas,San Lorenzo,De 40-44,"2,678",647,646,"1,293",24,62,86,15,14,29,2,26,28,148,153,301,309,632,941
,Esmeraldas,San Lorenzo,De 45-49,"1,952",488,395,883,21,45,66,6,8,14,3,20,23,132,117,249,270,447,717
,Esmeraldas,San Lorenzo,De 50-54,"1,644",410,301,711,24,39,63,9,14,23,4,26,30,122,116,238,230,349,579
,Esmeraldas,San Lorenzo,De 55-59,"1,424",312,226,538,26,32,58,17,15,32,17,40,57,123,111,234,207,298,505
,Esmeraldas,San Lorenzo,De 60-64,"1,170",241,192,433,24,23,47,18,16,34,13,48,61,99,85,184,169,242,411
,Esmeraldas,San Lorenzo,De 65-69,"1,002",207,130,337,20,27,47,12,16,28,20,81,101,98,89,187,132,170,302
,Esmeraldas,San Lorenzo,De 70-74,633,96,70,166,12,13,25,9,5,14,30,67,97,59,44,103,104,124,228
,Esmeraldas,San Lorenzo,De 75-79,361,51,24,75,7,3,10,1,8,9,19,53,72,51,18,69,65,61,126
,Esmeraldas,San Lorenzo,De 80-84,237,22,18,40,2,3,5,,,0,15,43,58,19,11,30,50,54,104
,Esmeraldas,San Lorenzo,85 o m�s,266,32,10,42,4,1,5,,1,1,14,56,70,23,4,27,52,69,121
,Esmeraldas,Atacames,Total Atacames,"37,567","5,274","5,315","10,589",548,"1,130","1,678",231,336,567,239,644,883,"2,056","2,073","4,129","9,490","10,231","19,721"
,Esmeraldas,Atacames,De 12-14,"3,663",2,13,15,3,3,6,,,0,,,0,,,0,"1,848","1,794","3,642"
,Esmeraldas,Atacames,De 15-19,"5,456",110,379,489,3,34,37,,,0,,1,1,3,5,8,"2,671","2,250","4,921"
,Esmeraldas,Atacames,De 20-24,"4,522",563,792,"1,355",23,112,135,,2,2,,2,2,28,78,106,"1,461","1,461","2,922"
,Esmeraldas,Atacames,De 25-29,"3,724",719,736,"1,455",35,142,177,1,10,11,,8,8,122,162,284,779,"1,010","1,789"
,Esmeraldas,Atacames,De 30-34,"3,488",691,741,"1,432",49,163,212,8,25,33,4,12,16,165,229,394,557,844,"1,401"
,Esmeraldas,Atacames,De 35-39,"3,155",664,639,"1,303",65,151,216,18,36,54,4,25,29,211,265,476,389,688,"1,077"
,Esmeraldas,Atacames,De 40-44,"2,847",602,537,"1,139",69,139,208,14,40,54,5,22,27,235,280,515,354,550,904
,Esmeraldas,Atacames,De 45-49,"2,392",512,481,993,52,76,128,24,44,68,7,24,31,217,230,447,302,423,725
,Esmeraldas,Atacames,De 50-54,"2,065",417,316,733,49,92,141,29,50,79,15,48,63,254,238,492,260,297,557
,Esmeraldas,Atacames,De 55-59,"1,814",347,259,606,66,77,143,38,48,86,20,65,85,218,156,374,252,268,520
,Esmeraldas,Atacames,De 60-64,"1,383",250,167,417,39,66,105,37,23,60,30,60,90,175,165,340,169,202,371
,Esmeraldas,Atacames,De 65-69,"1,106",146,109,255,47,33,80,25,26,51,26,89,115,164,106,270,179,156,335
,Esmeraldas,Atacames,De 70-74,816,122,76,198,17,27,44,18,20,38,36,103,139,110,78,188,101,108,209
,Esmeraldas,Atacames,De 75-79,540,62,36,98,17,9,26,13,8,21,28,74,102,90,40,130,92,71,163
,Esmeraldas,Atacames,De 80-84,314,34,21,55,10,4,14,4,2,6,25,52,77,40,29,69,41,52,93
,Esmeraldas,Atacames,85 o m�s,282,33,13,46,4,2,6,2,2,4,39,59,98,24,12,36,35,57,92
,Esmeraldas,Rioverde,Total Rioverde,"24,279","4,231","4,164","8,395",371,606,977,77,96,173,150,413,563,953,952,"1,905","6,070","6,196","12,266"
,Esmeraldas,Rioverde,De 12-14,"2,488",6,28,34,1,,1,,,0,,,0,,,0,"1,228","1,225","2,453"
,Esmeraldas,Rioverde,De 15-19,"3,635",106,359,465,3,23,26,,,0,,3,3,1,5,6,"1,740","1,395","3,135"
,Esmeraldas,Rioverde,De 20-24,"2,798",446,584,"1,030",12,57,69,,5,5,,4,4,12,44,56,819,815,"1,634"
,Esmeraldas,Rioverde,De 25-29,"2,418",519,564,"1,083",26,95,121,1,4,5,,6,6,53,79,132,460,611,"1,071"
,Esmeraldas,Rioverde,De 30-34,"2,203",565,574,"1,139",28,84,112,2,10,12,1,7,8,71,104,175,311,446,757
,Esmeraldas,Rioverde,De 35-39,"1,873",486,436,922,32,75,107,6,8,14,,13,13,83,106,189,217,411,628
,Esmeraldas,Rioverde,De 40-44,"1,572",433,362,795,29,69,98,5,10,15,4,12,16,96,95,191,202,255,457
,Esmeraldas,Rioverde,De 45-49,"1,383",361,302,663,45,48,93,7,12,19,4,16,20,93,108,201,172,215,387
,Esmeraldas,Rioverde,De 50-54,"1,358",335,293,628,45,35,80,11,17,28,4,25,29,104,115,219,194,180,374
,Esmeraldas,Rioverde,De 55-59,"1,165",290,229,519,27,42,69,12,7,19,10,27,37,103,75,178,173,170,343
,Esmeraldas,Rioverde,De 60-64,"1,031",264,144,408,42,29,71,12,7,19,16,34,50,93,71,164,178,141,319
,Esmeraldas,Rioverde,De 65-69,809,162,136,298,34,25,59,7,7,14,28,53,81,84,54,138,128,91,219
,Esmeraldas,Rioverde,De 70-74,608,122,80,202,28,7,35,5,3,8,19,58,77,65,50,115,90,81,171
,Esmeraldas,Rioverde,De 75-79,394,61,41,102,8,7,15,6,3,9,17,48,65,37,25,62,68,73,141
,Esmeraldas,Rioverde,De 80-84,286,45,20,65,6,7,13,2,1,3,18,42,60,34,15,49,55,41,96
,Esmeraldas,Rioverde,85 o m�s,258,30,12,42,5,3,8,1,2,3,29,65,94,24,6,30,35,46,81
,Guayas,Total Guayas,Total Guayas,"3,515,147","366,149","358,929","725,078","66,036","117,677","183,713","34,942","54,308","89,250","32,536","102,046","134,582","397,648","400,895","798,543","807,830","776,151","1,583,981"
,Guayas,Total Guayas,De 12-14,"253,001",480,967,"1,447",95,126,221,,,0,16,16,32,,,0,"128,633","122,668","251,301"
,Guayas,Total Guayas,De 15-19,"386,039","6,341","17,047","23,388",362,"2,365","2,727",11,17,28,21,91,112,355,889,"1,244","188,676","169,864","358,540"
,Guayas,Total Guayas,De 20-24,"391,146","33,402","45,847","79,249","2,537","9,679","12,216",111,262,373,74,376,450,"5,942","11,721","17,663","150,611","130,584","281,195"
,Guayas,Total Guayas,De 25-29,"350,345","48,675","51,871","100,546","5,147","13,225","18,372",742,"1,544","2,286",163,794,957,"21,160","31,594","52,754","93,124","82,306","175,430"
,Guayas,Total Guayas,De 30-34,"318,209","49,603","48,314","97,917","6,425","14,173","20,598","2,154","3,561","5,715",269,"1,297","1,566","37,077","44,420","81,497","57,433","53,483","110,916"
,Guayas,Total Guayas,De 35-39,"295,303","46,180","44,276","90,456","7,135","14,243","21,378","3,123","5,327","8,450",474,"1,849","2,323","44,572","48,898","93,470","39,350","39,876","79,226"
,Guayas,Total Guayas,De 40-44,"297,987","43,874","41,810","85,684","8,487","14,657","23,144","4,448","6,925","11,373",745,"2,918","3,663","50,112","52,841","102,953","34,892","36,278","71,170"
,Guayas,Total Guayas,De 45-49,"252,300","36,002","32,512","68,514","7,453","11,710","19,163","4,528","7,057","11,585","1,089","3,790","4,879","46,159","46,662","92,821","26,636","28,702","55,338"
,Guayas,Total Guayas,De 50-54,"230,450","29,952","26,111","56,063","7,062","10,456","17,518","4,625","7,164","11,789","1,665","6,026","7,691","43,891","43,441","87,332","23,465","26,592","50,057"
,Guayas,Total Guayas,De 55-59,"202,117","24,211","18,920","43,131","6,165","9,069","15,234","4,493","6,746","11,239","2,290","8,531","10,821","40,416","38,497","78,913","19,419","23,360","42,779"
